#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
15,Simply Nailogical @UCGCVyTWogzQ4D170BLy2Arw,7.5M,-,Canada,,2.3M,Simply Nailogical,7500000,"1,831,738,951",487
16,Domics @UCn1XB-jvmd9fXMzhiA6IR0w,7.4M,0.60%,Canada,,2.2M,Domics,7400000,"1,225,981,736",212
17,Gloom @UC6IijBsVf2PlWo_uq6P9wQw,7.4M,-,Canada,,2.2M,Gloom,7400000,"3,165,324,270",1192
18,MadFit @UCpQ34afVgk8cRQBjSJ1xuJQ,7.2M,-,Canada,,2.2M,MadFit,7200000,"1,178,750,058",957
19,Shroud @UCoz3Kpu5lv-ALhR4h9bDvcw,6.8M,0.10%,Canada,Video Gaming,2M,Shroud,6800000,"1,149,929,510",1605
20,Chris Ramsay @UCrPUg54jUy1T_wII9jgdRbg,6.7M,-,Canada,,2M,Chris Ramsay,6700000,"1,741,442,943",1024
21,Pokimane @UChXKjLEzAB1K7EZQey7Fm1Q,6.7M,-,Canada,,2M,Pokimane,6700000,"416,055,403",270
22,Nick Eh 30 @UCt9nYeSz90lnOnaVFjxFJzw,6.6M,0.50%,Canada,,2M,Nick Eh 30,6600000,"1,405,612,483",630
23,Ayo & Teo @UCB_Mdi3acqKLRR8zKFkqKoA,6.4M,-,Canada,,1.9M,Ayo & Teo,6400000,"1,681,988,855",194
24,CelineDion @UC_yGU4qz9zAjEWLQxCg9NZQ,6.3M,-,Canada,,1.9M,Celine Dion,6300000,"5,117,997,731",114
25,Kallmekris @UCiciOsypkXcqSFqSPd-NRVA,6.2M,3.60%,Canada,,1.9M,Kallmekris,6200000,"2,898,027,190",469
26,Matthew Santoro @UCXhSCMRRPyxSoyLSPFxK7VA,6.2M,0.20%,Canada,,1.9M,Matthew Santoro,6200000,"1,505,584,214",1115
27,funnyplox @UCVUdHi-tdW5AKdzMiTPG97Q,6.2M,-,Canada,Pets,1.8M,funnyplox,6200000,"91,305",124
28,Jester @UCKIL4dMp2qbWElEEZHK-aug,6.1M,-,Canada,,1.8M,Jester,6100000,"2,245,263,307",800
29,Chills @UCN64HIrZNqFQYZ2BuyY-4zg,6.1M,-,Canada,Celebrity,1.8M,Chills,6100000,"1,191,410,689",716
30,Rehaan Records @UCm9SZAl03Rev9sFwloCdz1g,6M,1.10%,Canada,,1.8M,Rehaan Records,6000000,"3,414,055,811",156
31,GamerGirl @UCije75lmV_7fVP7m4dJ7ZoQ,6M,0.20%,Canada,,1.8M,GamerGirl,6000000,"3,398,056,491",1731
32,Peter McKinnon @UC3DkFux8Iv-aYnTRWzwaiBA,5.8M,0.20%,Canada,Photography Food and Drink,1.7M,Peter McKinnon,5800000,"620,116,868",725
33,GunVsGun @UCFFUY0PCOH3CieBjbZd5suw,5.7M,0.10%,Canada,,1.7M,GunVsGun,5700000,"2,205,960,323",360
